id,idGoogle,AccessInfoCountry,AccessInfoPublicDomain,AccessInfotextToSpeechPermission,AccessInfoViewAbility,AccessViewStatus,AllowAnonLogging,Authors,AverageRatin,CanonicalVolumeLink,Categories,ContentVersion,Description,EpubIsAvailable,Etag,ImagesLinksSmallThumbnails,ImagesLinksThubmnail,InfoLink,ISBN10,ISBN13,Kind,Language,MaturityRating,PageCount,PfIsAvailable,PreviewLink,PrintType,PublishedDate,Publisher,QuoteSharingAllowed,RatingsCount,ReadingModesImage,ReadingModesText,SaleInfoCountry,SaleInfoisEbook,SaleInfoSaleability,SearchInfoTextSnippet,SelfLink,SubTitle,Title,WebReaderLink,AccessInfoEmbeddable,UploadDate,OTHER
1,qN4TPAAACAAJ,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/O_monge_e_o_executivo.html?hl=&id=qN4TPAAACAAJ,"Leadership    ",preview-1.0.0,"As definições; O velho paradgma; O modelo; O verbo; O ambiente; A escolha; A recompensa; Epílogo."," false",cwlgnOzq/VQ,NULL,NULL,http://books.google.com.br/books?id=qN4TPAAACAAJ&dq=isbn:9788575421024&hl=&source=gbs_api,8575421026,9788575421024,books#volume,pt,NOT_MATURE,139," false",http://books.google.com.br/books?id=qN4TPAAACAAJ&dq=isbn:9788575421024&hl=&cd=1&source=gbs_api,BOOK,2004,NULL,false,0,false,false,BR," false",NOT_FOR_SALE,"As definições; O velho paradgma; O modelo; O verbo; O ambiente; A escolha; A recompe",https://www.googleapis.com/books/v1/volumes/qN4TPAAACAAJ,"uma história sobra a essência da liderança","O monge e o executivo",http://play.google.com/books/reader?id=qN4TPAAACAAJ&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
2,qn9tAAAACAAJ,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/O_poder_do_agora.html?hl=&id=qn9tAAAACAAJ,"Self-actualization (Psychology)    ",preview-1.0.0,"Combinando conceitos do cristianismo, do budismo, do hinduísmo, do taoísmo e de outras tradições espirituais, Tolle procurou elaborar um guia para a possível descoberta do potencial interior. Este livro pretende ser um manual que ensina as pessoas a tomar consciência dos pensamentos e emoções que podem impedi-las de vivenciar a alegria e a paz que estão dentro delas."," false",ps42A8eDPK4,NULL,NULL,http://books.google.com.br/books?id=qn9tAAAACAAJ&dq=isbn:9788575420270&hl=&source=gbs_api,8575420275,9788575420270,books#volume,pt,NOT_MATURE,222," false",http://books.google.com.br/books?id=qn9tAAAACAAJ&dq=isbn:9788575420270&hl=&cd=1&source=gbs_api,BOOK,2002,NULL,false,0,false,false,BR," false",NOT_FOR_SALE,"Mas, se queremos realmente mudar nossas vidas, precisamos começar neste momento. Essa é mensagem simples, mas transformadora de Eckhart Tolle: viver no Agora é o melhor caminho para a felicidade e",https://www.googleapis.com/books/v1/volumes/qn9tAAAACAAJ,"um guia para a liuminação espiritual","O poder do agora",http://play.google.com/books/reader?id=qn9tAAAACAAJ&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
3,CeuruAAACAAJ,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/Os_segredos_da_mente_milion%C3%A1ria.html?hl=&id=CeuruAAACAAJ,"Capitalists and financiers    ",preview-1.0.0,"Neste livro o autor pretende mostrar como substituir uma mentalidade destrutiva pelos 'arquivos de riqueza', 17 modos de pensar e agir que, segundo ele, distinguem os ricos das demais pessoas."," false",G1WsdeXkaao,NULL,NULL,http://books.google.com.br/books?id=CeuruAAACAAJ&dq=isbn:9788575422397&hl=&source=gbs_api,8575422391,9788575422397,books#volume,pt,NOT_MATURE,176," false",http://books.google.com.br/books?id=CeuruAAACAAJ&dq=isbn:9788575422397&hl=&cd=1&source=gbs_api,BOOK,2006,NULL,false,0,false,false,BR," false",NOT_FOR_SALE,"Se as suas finanças andam na corda bamba, talvez esteja na hora de você refletir sobre o que T. Harv Eker chama de &quot;o seu modelo de dinheiro&quot; - um conjunto de crenças que cada um de nós alimenta desde a infância e que",https://www.googleapis.com/books/v1/volumes/CeuruAAACAAJ,"aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas","Os segredos da mente milionária",http://play.google.com/books/reader?id=CeuruAAACAAJ&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
4,I-nroAEACAAJ,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/Ansiedade.html?hl=&id=I-nroAEACAAJ,"Anxiety    ",preview-1.0.0,"Do you suffer with anticipation? Wake up tired? Do not tolerate working with slow people? Have headaches or muscle? You forget things easily? If you answered \""yes\"" to any of these questions, it is likely to suffer the Accelerated Thought Syndrome (ATS). Considered by Augusto Cury shrink as the new evil of the century, supplanting the depression, it affects much of the world's population. In this book, you will understand how the human mind works to be able to slow down their thinking, manage their emotions effectively and redeem their quality of life."," false",HjbFPWAbIRg,NULL,NULL,http://books.google.com.br/books?id=I-nroAEACAAJ&dq=isbn:9788502218482&hl=&source=gbs_api,8502218484,9788502218482,books#volume,pt,NOT_MATURE,160," false",http://books.google.com.br/books?id=I-nroAEACAAJ&dq=isbn:9788502218482&hl=&cd=1&source=gbs_api,BOOK,2013,NULL,false,0,false,false,BR," false",NOT_FOR_SALE,"Considerada pelo psiquiatra Augusto Cury como o novo mal do século, suplantando a depressão, ela acomete grande parte",https://www.googleapis.com/books/v1/volumes/I-nroAEACAAJ,"como enfrentar o mal do século : a Síndrome do Pensamento Acelerado : como e por que a humanidade adoeceu coletivamente das crianc?as aos adultos",Ansiedade,http://play.google.com/books/reader?id=I-nroAEACAAJ&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
5,w45071ysS5AC,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/O_Pequeno_Principe.html?hl=&id=w45071ysS5AC,"Princes    ",1.0.1.0.preview.0,"Esta nova impressão de O Pequeno Príncipe, de Antoine de Saint-Exupéry, está totalmente em conformidade com a edição original americana, a única feita com o autor em vida, em 1943. Saint-Exupéry, exilado nos Estados Unidos de 1941 a 1943 e impossibilitado de manter um relacionamento mais próximo com seu editor parisiense, confiou à editora nova-iorquina Reynal & Hitchcock o sonho de publicar as duas primeiras edições da obra, uma em francês e outra em inglês, ambas reproduzindo as célebres aquarelas. Somente três anos mais tarde, a 30 de novembro de 1945, saía da gráfica a 1a edição de O Pequeno Príncipe na França, pela Librairie Gallimard. Comparando-se as duas edições americanas de 1943 com a edição póstuma francesa de 1945, verificamos diferenças significativas na reprodução dos desenhos de Saint-Exupéry. Por que tantas variações? Como o gráfico francês não dispunha dos desenhos originais do autor, ele partiu das ilustrações de uma das duas edições que poderemos julgar muito \""avivadas\"" ou \""remontadas\"". As pinceladas, ainda bem visíveis na edição de 1943, desapareceram sob o efeito do polimento das cores, e muitos detalhes foram alterados. Portanto, decidimos, usando os meios técnicos de que dispomos, publicar esta nova impressão de O Pequeno Príncipe a partir da edição norte-americana."," false",s+icw8VPyvw,http://books.google.com/books/content?id=w45071ysS5AC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=w45071ysS5AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=w45071ysS5AC&dq=isbn:9788522005239&hl=&source=gbs_api,8522005230,9788522005239,books#volume,pt,NOT_MATURE,93," false",http://books.google.com.br/books?id=w45071ysS5AC&dq=isbn:9788522005239&hl=&cd=1&source=gbs_api,BOOK,2004,"Agir Editora",false,0,false,false,BR," false",NOT_FOR_SALE,"Esta nova impressão de O Pequeno Príncipe, de Antoine de Saint-Exupéry, está totalmente em conformidade com a edição original americana, a única feita com o autor em vida, e",https://www.googleapis.com/books/v1/volumes/w45071ysS5AC,"Edition en langue portugaise","O Pequeno Principe",http://play.google.com/books/reader?id=w45071ysS5AC&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
6,c2dGjbHDl30C,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/Arte_Da_Guerra.html?hl=&id=c2dGjbHDl30C,NULL,preview-1.0.0,"'A Arte da Guerra' em sua versão completa em português, trazendo os treze capítulos originais."," true",5kYClk2KHgM,http://books.google.com/books/content?id=c2dGjbHDl30C&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=c2dGjbHDl30C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=c2dGjbHDl30C&dq=isbn:9788560018000&hl=&source=gbs_api,NULL,9788560018000,books#volume,pt,NOT_MATURE,137," false",http://books.google.com.br/books?id=c2dGjbHDl30C&dq=isbn:9788560018000&hl=&cd=1&source=gbs_api,BOOK,NULL,"Geração Editorial",false,0,false,true,BR," false",NOT_FOR_SALE,"O maior tratado de guerra de todos os tempos em sua versão completa em português. A ARte da Guerra é sem dúvida a Bíblia da estratégia, sendo hoje utilizada amplamente no mundo dos negócios, conquistando pessoas e me",https://www.googleapis.com/books/v1/volumes/c2dGjbHDl30C,NULL,"Arte Da Guerra",http://play.google.com/books/reader?id=c2dGjbHDl30C&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
7,IObJNPV-rwEC,BR,false,ALLOWED,PARTIAL,SAMPLE,true,NULL,0,https://books.google.com/books/about/A_Arte_da_Guerra.html?hl=&id=IObJNPV-rwEC,"Art    ",2.1.3.0.preview.3,"O maior tratado de guerra de todos os tempos em sua versão completa em português. A Arte da Guerra é sem dúvida a Bíblia da estratégia, sendo hoje utilizada amplamente no mundo dos negócios, conquistando pessoas e mercados. Não nos surpreende vê-la citada em fi lmes como Wall Street(Oliver Stone, 1990) e constantemente aplicada para solucionar os mais recentes confl itos do nosso dia-a-dia. Conheça um dos maiores ícones da estratégia dos últimos 2500 anos. Sunzi disse: “A guerra se baseia no engano, se faz pelo ganho e se adapta pela divisão e combinação.” “Tal como a água procura as profundezas e evita os cumes, um exército ataca o vazio e evita o cheio. A água se move de acordo com a terra; um exército se movimenta de acordo com o inimigo.” “Quando o general é fraco, sem autoridade junto aos soldados, suas regras são confusas e sua moral é baixa, o exército é confuso.”"," true",vEv9U5iv6KY,http://books.google.com/books/content?id=IObJNPV-rwEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=IObJNPV-rwEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=IObJNPV-rwEC&dq=isbn:9788560018000&hl=&source=gbs_api,NULL,9788560018000,books#volume,pt,NOT_MATURE,160," true",http://books.google.com.br/books?id=IObJNPV-rwEC&printsec=frontcover&dq=isbn:9788560018000&hl=&cd=2&source=gbs_api,BOOK,NULL,"Geração Editorial",false,0,true,true,BR," false",NOT_FOR_SALE,"O maior tratado de guerra de todos os tempos em sua versão completa em português. A Arte da Guerra é sem dúvida a Bíblia da estratégia, sendo hoje utilizada amplamente no mundo dos negócios, conquistando pessoas e me",https://www.googleapis.com/books/v1/volumes/IObJNPV-rwEC,"Os treze capítulos originais","A Arte da Guerra",http://play.google.com/books/reader?id=IObJNPV-rwEC&hl=&printsec=frontcover&source=gbs_api,true,2019-03-28,NULL
8,ODZxFxy0YgcC,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/Pai_Rico_Pai_Pobre.html?hl=&id=ODZxFxy0YgcC,"Finance, Personal    ",0.0.1.0.preview.0,"Um dos livros mais falados da última década, abriu os olhos do mundo para a necessidade de pensar o planejamento de finanças pessoais. Pai Rico, Pai Pobre foi o primeiro best-seller de Robert T. Kyiosaki e Sharon Lechter, e deu origem a uma série de enorme sucesso. Seu conceito é muito simples: com maior inteligência financeira muitos problemas comuns da vida cotidiana podem ser resolvidos. Saiba o que os ricos tratam como ativos geradores de renda, e como se livrar de pagar impostos demais. A cada dia, a cada nota você escolhe ser rico, pobre ou classe média. A melhor maneira de preparar seus filhos para o mundo é dividir esse conhecimento com eles. Se você não fizer isso, ninguém mais fará. Determine o destino do dinheiro que chega às suas mãos."," false",ctBDYaAsJeA,http://books.google.com/books/content?id=ODZxFxy0YgcC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=ODZxFxy0YgcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=ODZxFxy0YgcC&dq=isbn:9788535206234&hl=&source=gbs_api,853520623X,9788535206234,books#volume,pt,NOT_MATURE,186," false",http://books.google.com.br/books?id=ODZxFxy0YgcC&dq=isbn:9788535206234&hl=&cd=1&source=gbs_api,BOOK,2000,"Elsevier Brasil",false,0,false,false,BR," false",NOT_FOR_SALE,"Pai Rico, Pai Pobre foi o primeiro best-seller de Robert T. Kyiosaki e Sharon Lechter, e deu origem a uma série de enorme suce",https://www.googleapis.com/books/v1/volumes/ODZxFxy0YgcC,NULL,"Pai Rico, Pai Pobre",http://play.google.com/books/reader?id=ODZxFxy0YgcC&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
9,vtWhueS9gQEC,BR,false,ALLOWED,PARTIAL,SAMPLE,false,NULL,0,https://books.google.com/books/about/O_di%C3%A1rio_de_Anne_Frank.html?hl=&id=vtWhueS9gQEC,"Amsterdam (Netherlands)    ",1.0.1.0.preview.1,"Este livro é uma edição que traz na íntegra o diário de Anne Frank, com todos os trechos que seu pai cortou para a publicação de 1947, já tão conhecida e lida. É comovente descobrir que mesmo no contexto tenebroso do nazismo e guerra, ela viveu problemas e conflitos de uma adolescente de qualquer lugar e tempo. Anne Frank registrou admiravelmente a catástofre que foi a Segunda Guerra Mundial. Seu diário está entre os documentos mais duradouros produzidos neste século, mas é também uma narrativa tenra e incomparável, que revela a força indestrutível do espírito humano."," false",sIRKw36vrK4,http://books.google.com/books/content?id=vtWhueS9gQEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=vtWhueS9gQEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=vtWhueS9gQEC&dq=isbn:9788501044457&hl=&source=gbs_api,8501044458,9788501044457,books#volume,pt,NOT_MATURE,315," false",http://books.google.com.br/books?id=vtWhueS9gQEC&printsec=frontcover&dq=isbn:9788501044457&hl=&cd=1&source=gbs_api,BOOK,1995,"Editora Record",false,0,true,false,BR," false",NOT_FOR_SALE,"O emocionante relato que se tornou um dos livros mais lidos do mundo O diário de Anne Frank foi publicado pela primeira vez em 1947 e faz parte do cânone lite",https://www.googleapis.com/books/v1/volumes/vtWhueS9gQEC,NULL,"O diário de Anne Frank",http://play.google.com/books/reader?id=vtWhueS9gQEC&hl=&printsec=frontcover&source=gbs_api,true,2019-03-28,NULL
10,RJ_UQgAACAAJ,BR,false,ALLOWED,NO_PAGES,NONE,false,NULL,0,https://books.google.com/books/about/Os_7_h%C3%A1bitos_das_pessoas_altamente_efic.html?hl=&id=RJ_UQgAACAAJ,"Character    ",preview-1.0.0,"Stephen R. Covey acredita que vencer ou fracassar é resultado de sete hábitos. São eles que distinguem as pessoas felizes, saudáveis e bem-sucedidas das fracassadas ou daquelas que sacrificam o equilíbrio interior e a felicidade para alcançar êxito. Em 'Os 7 hábitos das pessoas altamente eficazes' estão contidos os princípios fundamentais da eficácia humana - sete hábitos básicos e primordiais que, segundo a obra, representam a interiorização dos princípios corretos, nos quais estão baseados o sucesso e a felicidade duradoura."," false",4oPq9iPlgco,NULL,NULL,http://books.google.com.br/books?id=RJ_UQgAACAAJ&dq=isbn:9788576840626&hl=&source=gbs_api,8576840626,9788576840626,books#volume,pt,NOT_MATURE,444," false",http://books.google.com.br/books?id=RJ_UQgAACAAJ&dq=isbn:9788576840626&hl=&cd=1&source=gbs_api,BOOK,2005,NULL,false,0,false,false,BR," false",NOT_FOR_SALE,"No entanto, os 7 hábitos estabelecidos por Stephen Covey são eternos e imutáveis, guiando e ajudando inúmeras pessoas neste meio século — sejam elas chefes de",https://www.googleapis.com/books/v1/volumes/RJ_UQgAACAAJ,NULL,"Os 7 hábitos das pessoas altamente eficazes",http://play.google.com/books/reader?id=RJ_UQgAACAAJ&hl=&printsec=frontcover&source=gbs_api,false,2019-03-28,NULL
