id,idGoogle,Seller,Price,Rating,UploadDate
1,woNrgrt-AZkC,Amazon.com.br,"29,00","Sem avaliação",2019-03-29
2,woNrgrt-AZkC,Shoptime,"29,00","Sem avaliação",2019-03-29
3,woNrgrt-AZkC,Submarino,"29,00","Sem avaliação",2019-03-29
4,woNrgrt-AZkC,"Livraria da Travessa","37,20","Sem avaliação",2019-03-29
5,woNrgrt-AZkC,"Pook Book","31,25","Sem avaliação",2019-03-29
6,woNrgrt-AZkC,Americanas.com,"29,00","Sem avaliação",2019-03-29
7,woNrgrt-AZkC,Submarino,"Sem preço","Sem avaliação",2019-03-29
8,woNrgrt-AZkC,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
9,woNrgrt-AZkC,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
10,woNrgrt-AZkC,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
11,woNrgrt-AZkC,FNAC,"Sem preço","Sem avaliação",2019-03-29
12,woNrgrt-AZkC,"Edies Loyola","Sem preço","Sem avaliação",2019-03-29
13,owToZHWwFOUC,"Mercado Livre","69,08","Sem avaliação",2019-03-29
14,owToZHWwFOUC,Pontofrio.com,"73,68","Sem avaliação",2019-03-29
15,owToZHWwFOUC,"Livraria da Travessa","92,10","Sem avaliação",2019-03-29
16,owToZHWwFOUC,Amazon.com.br,"61,94","Sem avaliação",2019-03-29
17,owToZHWwFOUC,"Pook Book","62,78","Sem avaliação",2019-03-29
18,owToZHWwFOUC,Shoptime,"61,94","Sem avaliação",2019-03-29
19,owToZHWwFOUC,Americanas.com,"61,94","Sem avaliação",2019-03-29
20,owToZHWwFOUC,Walmart,"78,29","Sem avaliação",2019-03-29
21,owToZHWwFOUC,Submarino,"61,94","Sem avaliação",2019-03-29
22,owToZHWwFOUC,"Casas Bahia","73,68","Sem avaliação",2019-03-29
23,owToZHWwFOUC,"Estante Virtual","61,90","Sem avaliação",2019-03-29
24,owToZHWwFOUC,"Livraria Loyola","64,47","Sem avaliação",2019-03-29
25,owToZHWwFOUC,Extra.com.br,"73,68","Sem avaliação",2019-03-29
26,owToZHWwFOUC,Submarino,"Sem preço","Sem avaliação",2019-03-29
27,owToZHWwFOUC,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
28,owToZHWwFOUC,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
29,owToZHWwFOUC,"Livraria Cultura","92,10","Sem avaliação",2019-03-29
30,owToZHWwFOUC,FNAC,"Sem preço","Sem avaliação",2019-03-29
31,WhYsAAAAYAAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
32,WhYsAAAAYAAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
33,WhYsAAAAYAAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
34,WhYsAAAAYAAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
35,WhYsAAAAYAAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
36,VO5fDwAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
37,VO5fDwAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
38,VO5fDwAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
39,VO5fDwAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
40,VO5fDwAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
41,PS1ZAQAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
42,PS1ZAQAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
43,PS1ZAQAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
44,PS1ZAQAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
45,PS1ZAQAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
46,wGcwvgAACAAJ,Americanas.com,"6,90","Sem avaliação",2019-03-29
47,wGcwvgAACAAJ,"Magazine Luiza","22,00","Sem avaliação",2019-03-29
48,wGcwvgAACAAJ,Carrefour,"9,90","Sem avaliação",2019-03-29
49,wGcwvgAACAAJ,"Mercado Livre","21,16","Sem avaliação",2019-03-29
50,wGcwvgAACAAJ,"Mercado Livre","9,90","Sem avaliação",2019-03-29
51,wGcwvgAACAAJ,"Pook Book","9,90","Sem avaliação",2019-03-29
52,wGcwvgAACAAJ,"Mercado Livre","17,00","Sem avaliação",2019-03-29
53,wGcwvgAACAAJ,"Livraria da Travessa","24,90","Sem avaliação",2019-03-29
54,wGcwvgAACAAJ,Walmart,"21,17","Sem avaliação",2019-03-29
55,wGcwvgAACAAJ,"Livraria Florence","9,99","Sem avaliação",2019-03-29
56,wGcwvgAACAAJ,Walmart,"26,90","Sem avaliação",2019-03-29
57,wGcwvgAACAAJ,Amazon.com.br,"6,90","Sem avaliação",2019-03-29
58,wGcwvgAACAAJ,Pontofrio.com,"9,90","Sem avaliação",2019-03-29
59,wGcwvgAACAAJ,"Mercado Livre","7,99","Sem avaliação",2019-03-29
60,wGcwvgAACAAJ,"Magazine Luiza","21,16","Sem avaliação",2019-03-29
61,wGcwvgAACAAJ,"Livraria Loyola","7,92","Sem avaliação",2019-03-29
62,wGcwvgAACAAJ,"Magazine Luiza","9,90","Sem avaliação",2019-03-29
63,wGcwvgAACAAJ,"Casas Bahia","9,90","Sem avaliação",2019-03-29
64,wGcwvgAACAAJ,Walmart,"10,89","Sem avaliação",2019-03-29
65,wGcwvgAACAAJ,Submarino,"6,90","Sem avaliação",2019-03-29
66,wGcwvgAACAAJ,Extra.com.br,"26,90","Sem avaliação",2019-03-29
67,wGcwvgAACAAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
68,wGcwvgAACAAJ,"Livraria Saraiva","6,90","Sem avaliação",2019-03-29
69,wGcwvgAACAAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
70,wGcwvgAACAAJ,"Livraria Cultura","9,90","Sem avaliação",2019-03-29
71,wGcwvgAACAAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
72,ZhcaAwAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
73,ZhcaAwAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
74,ZhcaAwAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
75,ZhcaAwAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
76,ZhcaAwAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
77,p-lDDwAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
78,p-lDDwAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
79,p-lDDwAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
80,p-lDDwAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
81,p-lDDwAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
82,LEwnDQAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
83,LEwnDQAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
84,LEwnDQAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
85,LEwnDQAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
86,LEwnDQAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
87,796EMutjMtYC,"Grupo A","146,40","Sem avaliação",2019-03-29
88,796EMutjMtYC,"Grupo A","146,40","Sem avaliação",2019-03-29
89,796EMutjMtYC,Submarino,"Sem preço","Sem avaliação",2019-03-29
90,796EMutjMtYC,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
91,796EMutjMtYC,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
92,796EMutjMtYC,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
93,796EMutjMtYC,FNAC,"Sem preço","Sem avaliação",2019-03-29
94,OEbHDgAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
95,OEbHDgAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
96,OEbHDgAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
97,OEbHDgAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
98,OEbHDgAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
99,GT8wDgAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
100,GT8wDgAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
101,GT8wDgAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
102,GT8wDgAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
103,GT8wDgAAQBAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
104,59IJ34ms1HQC,Submarino,"Sem preço","Sem avaliação",2019-03-29
105,59IJ34ms1HQC,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
106,59IJ34ms1HQC,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
107,59IJ34ms1HQC,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
108,59IJ34ms1HQC,FNAC,"Sem preço","Sem avaliação",2019-03-29
109,B3FGvgAACAAJ,Submarino,"29,99","Sem avaliação",2019-03-29
110,B3FGvgAACAAJ,Pontofrio.com,"32,90","Sem avaliação",2019-03-29
111,B3FGvgAACAAJ,Americanas.com,"28,99","Sem avaliação",2019-03-29
112,B3FGvgAACAAJ,"Mercado Livre","21,39","Sem avaliação",2019-03-29
113,B3FGvgAACAAJ,"Livrarias Curitiba","32,90","Sem avaliação",2019-03-29
114,B3FGvgAACAAJ,Amazon.com.br,"28,99","Sem avaliação",2019-03-29
115,B3FGvgAACAAJ,Amazon.com.br,"28,99","Sem avaliação",2019-03-29
116,B3FGvgAACAAJ,Amazon.com.br,"28,99","Sem avaliação",2019-03-29
117,B3FGvgAACAAJ,Shoptime,"28,99","Sem avaliação",2019-03-29
118,B3FGvgAACAAJ,"Casas Bahia","32,90","Sem avaliação",2019-03-29
119,B3FGvgAACAAJ,"Magazine Luiza","21,39","Sem avaliação",2019-03-29
120,B3FGvgAACAAJ,Extra.com.br,"32,90","Sem avaliação",2019-03-29
121,B3FGvgAACAAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
122,B3FGvgAACAAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
123,B3FGvgAACAAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
124,B3FGvgAACAAJ,"Livraria Cultura","32,90","Sem avaliação",2019-03-29
125,B3FGvgAACAAJ,FNAC,"Sem preço","Sem avaliação",2019-03-29
126,ZqYxDwAAQBAJ,Submarino,"Sem preço","Sem avaliação",2019-03-29
127,ZqYxDwAAQBAJ,"Livraria Saraiva","Sem preço","Sem avaliação",2019-03-29
128,ZqYxDwAAQBAJ,"Livraria Nobel","Sem preço","Sem avaliação",2019-03-29
129,ZqYxDwAAQBAJ,"Livraria Cultura","Sem preço","Sem avaliação",2019-03-29
