idPublishNews,ReferenceDate,Author,Category,Description,image,ISBN,Name,Pages,Price,Publisher,RankingNumber,RankingVolume,Translate
1,201009,"Laurentino Gomes","Não ficção",NULL,https://www.publishnews.com.br/estaticos/uploads/livro/x2010092011013222251248457.jpg.pagespeed.ic.-tuSP3uQpV.jpg,9788520924099,1822,72,490.00,"Nova Fronteira",1,37944,NULL
2,201009,"Padre Marcelo Rossi",Autoajuda,"Os dicionários definem a palavra 'ágape' como a refeição promovida pelos cristãos a fim de celebrar o rito eucarístico. O rito confraternizava as pessoas em torno de ideais como amizade, caridade, amor. Em ""Ágape"", padre Marcelo Rossi pretende retomar e ampliar o sentido do conceito. Na obra o autor apresenta trechos selecionados do Evangelho de são João e os reinterpreta à luz do significado do amor divino.",https://www.publishnews.com.br/estaticos/uploads/livro/20100920110213738-476245393.jpg.pagespeed.ce.2EnuQGkOsr.jpg,9788525048950,Ágape,28,990.00,"Globo Livros",2,34969,NULL
3,201009,"Elizabeth Gilbert","Não ficção","=""pn-ranking-livro-resumo""><font face=""Verdana"">Um marido apaixonado, uma casa espa&ccedil;osa, uma carreira de sucesso e o projeto de ter filhos &eacute; tudo que uma mulher pr&oacute;ximo dos 30 anos pode almejar. Mas ao inv&eacute;s de se sentir feliz, Elizabeth Gilbert se sentia confusa, triste e em p&acirc;nico. Depois de enfrentar um div&oacute;rcio, uma depress&atilde;o e outro amor fracassado, decidiu livrar-se de todos os bens materiais, demitir-se do emprego e partir sozinha para uma viagem de um ano pelo mundo. O livro &ldquo;Comer, Rezar, Amar&rdquo; &eacute; a cr&ocirc;nica dessa aventura. O objetivo de Gilbert era visitar tr&ecirc;s lugares onde pudesse examinar aspectos de sua pr&oacute;pria natureza, tendo como cen&aacute;rio uma cultura que, tradicionalmente, fosse especialista em cada um deles. ""Assim, quis explorar a arte do prazer na It&aacute;lia, a arte da devo&ccedil;&atilde;o na &Iacute;ndia, e, na Indon&eacute;sia, a arte de equilibrar as duas coisas"", explica. Em Roma, estudou gastronomia, aprendeu a falar italiano e engordou os onze quilos mais felizes de sua vida. Na &Iacute;ndia dedicou-se &agrave; explora&ccedil;&atilde;o espiritual. J&aacute; em Bali, exercitou o equil&iacute;brio entre o prazer mundano e a transcend&ecirc;ncia divina. O t&iacute;tulo &eacute; um relato sobre a import&acirc;ncia de assumir a responsabilidade pelo pr&oacute;prio contentamento e parar de viver conforme os ideais da sociedade.</f",https://www.publishnews.com.br/estaticos/uploads/livro/20100920110423973103680224.jpg.pagespeed.ce.Wo4GsaepgZ.jpg,9788573028928,"Comer, rezar, amar",44,490.00,Objetiva,3,11148,NULL
4,201009,"Nicholas Sparks",Ficção,"<em>Querido John</em> (Novo Conceito, 288 pp., R$ 29,90), novo livro do autor de best-sellers que fizeram sucesso tamb&eacute;m nos cinemas, Nicholas Sparks traz agora a hist&oacute;ria de um jovem que tem que tomar a decis&atilde;o mais dif&iacute;cil de sua vida em nome de seu grande amor.&ldquo;Querido John&rdquo;, dizia a carta que partiu um cora&ccedil;&atilde;o e transformou duas vidas para sempre. Quando John Tyree conhece Savannah Lynn Curtis, descobre estar pronto para recome&ccedil;ar sua vida. Com um futuro sem grandes perspectivas, ele, um jovem rebelde, decide alistar-se no ex&eacute;rcito, ap&oacute;s concluir o ensino m&eacute;dio. Durante sua licen&ccedil;a, conhece a garota de seus sonhos, Savannah. A atra&ccedil;&atilde;o m&uacute;tua cresce rapidamente e logo se transforma em um tipo de amor que faz com que Savannah prometa esper&aacute;-lo concluir seus deveres milit",https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg.pagespeed.ce.Fhcb7879LJ.jpg,9788563219022,"Querido John",88,990.00,"Novo Conceito",4,9129,NULL
5,201009,"William P. Young",Ficção,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg,9788599296363,"A cabana",40,490.00,Arqueiro,5,8792,NULL
6,201009,"Rick Riordan",Infantojuvenil,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/201009201103165511475636426.jpg,9788598078908,"O último olimpiano",84,990.00,Intrínseca,6,8309,NULL
7,201009,"Elizabeth Gilbert","Não ficção","Durante quase um ano a autora do best-seller <em>Comer</em><em>, Rezar, Amar</em> estudou a institui&ccedil;&atilde;o do casamento. Elizabeth Gilbert descobriu, por exemplo, que entre as mulheres hmong - pequena tribo que habita os picos mais elevados das montanhas do Vietn&atilde;, da Tail&acirc;ndia, do Laos e da China - n&atilde;o existe a ilus&atilde;o de que seus maridos ser&atilde;o a fonte principal da felici",https://www.publishnews.com.br/estaticos/uploads/livro/201009201104525042064780834.jpg,9788539000760,Comprometida,40,390.00,Objetiva,7,8014,NULL
8,201009,"Nicholas Sparks",Ficção,"=""pn-ranking-livro-resumo""><font face=""Verdana"">No romance &ldquo;A &uacute;ltima m&uacute;sica&rdquo;, Nicholas Sparks apresenta uma hist&oacute;ria sobre fam&iacute;lia, amizade, amor, amadurecimento e especialmente sobre como perdoar e recome&ccedil;ar. Aos dezessete anos, Ver&ocirc;nica Miller, ou simplesmente Ronnie, v&ecirc; sua vida virar de cabe&ccedil;a para baixo quando seus pais se divorciam e seu pai decide ir para a praia de Wrightsville, na Carolina do Norte. Tr&ecirc;s anos depois, ela continua magoada e distante dos pais, mas sua m&atilde;e decide que seria melhor os filhos passarem as f&eacute;rias de ver&atilde;o com o pai na Carolina do Norte. Ronnie rejeita qualquer tentativa de aproxima&ccedil;&atilde;o e amea&ccedil;a voltar para Nova York antes do ver&atilde;o acabar. &Eacute; quando ela conhece Will, o garoto mais popular da cidade. A paix&atilde;o pelo garoto abre uma nova experi&ecirc;ncia para a jovem, que vai experimentar uma felicidade nunca antes sentida.</f",https://www.publishnews.com.br/estaticos/uploads/livro/201009201106373951199167663.jpg,9788563219077,"A última música",0,490.00,"Novo Conceito",8,6599,NULL
9,201009,"Chico Xavier",Autoajuda,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100921122056151069787957.jpg,9788573280234,"Nosso lar",43,500.00,FEB,9,5844,NULL
10,201009,"Laurentino Gomes","Não ficção","A fuga da família real portuguesa para o Rio de Janeiro ocorreu num dos momentos mais apaixonantes e revolucionários do Brasil, de Portugal e do mundo. Guerras napoleônicas, revoluções republicanas, escravidão formaram o caldo no qual se deu a mudança da corte portuguesa e sua instalação no Brasil. O propósito deste maravilhoso livro, resultado de dez anos de investigação jornalística, é resgatar e contar de forma acessível a história da corte lusitana no Brasil e tentar devolver seus protagonistas à dimensão mais correta possível dos papéis que desempenharam duzentos anos atrás. <em>1808 </em>é o relato real e definitivo sobre um dos principais momentos da história brasileira.<span></span>",https://www.publishnews.com.br/estaticos/uploads/2015/08/XaCIqllM86TMxuB6ihP3170WUUMuxTx2lgRk9FAyJ6Txm9dKWvj3OX2pUeNKQFFsBK73KN7URVrp2b8T.jpg,9788576653202,1808,8,990.00,"Planeta do Brasil",10,4500,NULL
11,201009,"Lauren Kate",Ficção,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920110704692-1133536870.jpg.pagespeed.ce.zEawKSm-HM.jpg,9788501089625,Fallen,6,990.00,"Galera Record",11,4331,NULL
12,201009,"Rick Riordan",Infantojuvenil,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111022770-1274342636.jpg,9788598078397,"O ladrão de raios",0,990.00,Intrínseca,12,3835,NULL
13,201009,"Eduardo Spohr",Ficção,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920110910671416755726.jpg.pagespeed.ce.DCfs7IYrge.jpg,9788576860761,"A batalha do apocalipse",82,990.00,Verus,13,3442,NULL
14,201009,Vários,Infantojuvenil,"Esse guia essencial traz dicas e informações básicas sobre o Club Penguin – desde como cuidar do puffle até como marcar mais pontos nos jogos. Perfeito para quem está aprendendo a pinguinar pela ilha ou já é um especialista, este guia vai ajudar a todos a aproveitar o Club Penguin ao máximo! ",https://www.publishnews.com.br/estaticos/uploads/2015/07/wspyjLw1yghedA76eFGBL8AduO2rStw7Q7lOBwxeTY2hRoRzvkr5p4v8JsVPLbgkBhjLymHiPWZbzXNd.png,9788506061145,"Club Penguin - Guia oficial",2,900.00,Melhoramentos,14,3407,NULL
15,201009,"Rick Riordan",Infantojuvenil,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111318129-2052156165.jpg,9788598078441,"O mar de monstros",4,990.00,Intrínseca,15,3173,NULL
16,201009,Vários,Infantojuvenil,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111343582638501925.jpg,9788506061350,"Club Penguin - Aquela do pinguim",4,200.00,Melhoramentos,16,3165,NULL
17,201009,Vários,Infantojuvenil,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111423722-1051631217.jpg,9788506061367,"Club Penguin - O passageiro clandestino",0,200.00,Melhoramentos,17,3153,NULL
18,201009,Vários,Infantojuvenil,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111455394-1875929536.jpg,9788506061138,"Club Penguin - O aprendiz de inventor",0,200.00,Melhoramentos,18,3136,NULL
19,201009,"James Hunter",Negócios,"Leonard Hoffman, um famoso empresário que abandonou sua brilhante carreira para se tornar monge em um mosteiro beneditino, é o personagem central desta envolvente história criada por James C. Hunter para ensinar de forma clara e agradável os princípios fundamentais dos verdadeiros líderes. Se você tem dificuldade em fazer com que sua equipe dê o melhor de si no trabalho e gostaria de se relacionar melhor com sua família e seus amigos, vai encontrar neste livro personagens, idéias e discussões que vão abrir um novo horizonte em sua forma de lidar com os outros. É impossível ler este livro sem sair transformado. <em>O monge e o executivo</em> é, sobretudo, uma lição sobre como se tornar uma pess",https://www.publishnews.com.br/estaticos/uploads/2015/07/CjlXUUI3ZPUy92oz4ZzL2KrFM4hpsZq0xmyZ6OgxEP1JIhPZyI1hSo9pNO64bk2kI23nw1kQtwtkfLRE.jpg,9788575421024,"O monge e o executivo",44,490.00,Sextante,19,3007,"Maria da Conceição Fornos de Magalhães"
20,201009,"Nicholas Sparks",NULL,"<em>Querido John</em> (Novo Conceito, 288 pp., R$ 29,90), novo livro do autor de best-sellers que fizeram sucesso tamb&eacute;m nos cinemas, Nicholas Sparks traz agora a hist&oacute;ria de um jovem que tem que tomar a decis&atilde;o mais dif&iacute;cil de sua vida em nome de seu grande amor.&ldquo;Querido John&rdquo;, dizia a carta que partiu um cora&ccedil;&atilde;o e transformou duas vidas para sempre. Quando John Tyree conhece Savannah Lynn Curtis, descobre estar pronto para recome&ccedil;ar sua vida. Com um futuro sem grandes perspectivas, ele, um jovem rebelde, decide alistar-se no ex&eacute;rcito, ap&oacute;s concluir o ensino m&eacute;dio. Durante sua licen&ccedil;a, conhece a garota de seus sonhos, Savannah. A atra&ccedil;&atilde;o m&uacute;tua cresce rapidamente e logo se transforma em um tipo de amor que faz com que Savannah prometa esper&aacute;-lo concluir seus deveres milit",https://www.publishnews.com.br/estaticos/uploads/livro/201009201103445351799044711.jpg.pagespeed.ce.Fhcb7879LJ.jpg,9788563219022,"Querido John",88,990.00,"Novo Conceito",1,9129,NULL
21,201009,"William P. Young",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920110609551982376217.jpg.pagespeed.ce.a8wOvIShO5.jpg,9788599296363,"A cabana",40,490.00,Arqueiro,2,8792,NULL
22,201009,"Nicholas Sparks",NULL,"=""pn-ranking-livro-resumo""><font face=""Verdana"">No romance &ldquo;A &uacute;ltima m&uacute;sica&rdquo;, Nicholas Sparks apresenta uma hist&oacute;ria sobre fam&iacute;lia, amizade, amor, amadurecimento e especialmente sobre como perdoar e recome&ccedil;ar. Aos dezessete anos, Ver&ocirc;nica Miller, ou simplesmente Ronnie, v&ecirc; sua vida virar de cabe&ccedil;a para baixo quando seus pais se divorciam e seu pai decide ir para a praia de Wrightsville, na Carolina do Norte. Tr&ecirc;s anos depois, ela continua magoada e distante dos pais, mas sua m&atilde;e decide que seria melhor os filhos passarem as f&eacute;rias de ver&atilde;o com o pai na Carolina do Norte. Ronnie rejeita qualquer tentativa de aproxima&ccedil;&atilde;o e amea&ccedil;a voltar para Nova York antes do ver&atilde;o acabar. &Eacute; quando ela conhece Will, o garoto mais popular da cidade. A paix&atilde;o pelo garoto abre uma nova experi&ecirc;ncia para a jovem, que vai experimentar uma felicidade nunca antes sentida.</f",https://www.publishnews.com.br/estaticos/uploads/livro/201009201106373951199167663.jpg.pagespeed.ce.m4txTeLCLu.jpg,9788563219077,"A última música",0,490.00,"Novo Conceito",3,6599,NULL
23,201009,"Lauren Kate",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920110704692-1133536870.jpg.pagespeed.ce.zEawKSm-HM.jpg,9788501089625,Fallen,6,990.00,"Galera Record",4,4331,NULL
24,201009,"Eduardo Spohr",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920110910671416755726.jpg.pagespeed.ce.DCfs7IYrge.jpg,9788576860761,"A batalha do apocalipse",82,990.00,Verus,5,3442,NULL
25,201009,"Dan Brown",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/201009201115308161853624048.jpg.pagespeed.ce.O8OYvfhI3X.jpg,9788599296554,"O símbolo perdido",12,990.00,Arqueiro,6,2753,NULL
26,201009,"Stephenie Meyer",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920112246299136795256.jpg,9788598078465,Amanhecer,76,990.00,Intrínseca,7,2386,NULL
27,201009,"Isabel Allende",NULL,"=""pn-ranking-livro-resumo""><font face=""Verdana"">Em Saint-Domingue, onde hoje &eacute; o Haiti, no final do s&eacute;culo XVIII, as planta&ccedil;&otilde;es de cana-de-a&ccedil;&uacute;car transformaram a ilha. O a&ccedil;&uacute;car era o ouro doce, e cortar cana era considerado trabalho de bicho, como diziam os plantadores. Toulouse Valmorain acabara de completar 20 anos quando foi convocado com urg&ecirc;ncia &agrave; col&ocirc;nia. N&atilde;o suspeitou que o destino lhe pregaria uma pe&ccedil;a ao receber carta do pai aludindo a problemas de sa&uacute;de, nem que acabaria enterrado nos canaviais das Antilhas. A riqueza e a prosperidade far&atilde;o de Valmorain o aut&ecirc;ntico senhor de escravos. Em contrapartida, a ele caber&atilde;o os prazeres na cama com a adolescente Zarit&eacute;, que n&atilde;o conhecer&aacute; o sofrimento das senzalas. Esta &eacute; a trama de ""A ilha sob o mar"", livro de Isabel Allende.</f",https://www.publishnews.com.br/estaticos/uploads/livro/20100920112133893-512310630.jpg,8528614441,"A ilha sob o mar",76,900.00,"Bertrand Brasil",8,2187,NULL
28,201009,"Augusto Cury",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111806341007267731.jpg,9788560096275,"O vendedor de sonhos",96,990.00,Academia,9,2110,NULL
29,201009,"P.C. Cast e Kristin Cast",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920111659737-700740330.jpg,9788576793533,Tentada,84,990.00,"Novo Século",10,1893,NULL
30,201009,"John Boyne",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/201009201127303311312868066.jpg,9788535911121,"O menino do pijama listrado",0,200.00,Seguinte,11,1672,NULL
31,201009,"L. J. Smith",NULL,"=""pn-ranking-livro-resumo""><font face=""Verdana"">""Reuni&atilde;o sombria"" &eacute; o quarto livro da s&eacute;rie ""Di&aacute;rios do Vampiro"". No t&iacute;tulo, Elena flutua em um misterioso limbo espiritual ap&oacute;s se sacrificar para derrotar Katherine e salvar Stefan. Sua morte enche Fell's Church de tristeza, mas &eacute; preciso seguir em frente. Bonnie, a melhor amiga, decide guardar o di&aacute;rio de Elena e ali registra os sinais de recupera&ccedil;&atilde;o da cidade, acompanhada de perto por Meredith e Matt. Por&eacute;m, sonhos perturbadores com a amiga morta est&atilde;o prestes a mudar tudo. Pelos sonhos, Elena se comunica com Bonnie e avisa de um novo perigo que ronda a cidade, e s&oacute; uma pessoa pode ajud&aacute;-los - Stefan. Os dois vagam sem rumo, sob a cruz de sua sina - a sede de sangue. Ser&aacute; que ele ir&aacute; atender ao chamado inesperado que o colocar&aacute; novamente no caminho de Elena - e daqueles que ela ama? </f",https://www.publishnews.com.br/estaticos/uploads/livro/20100920113109518-1118041768.jpg,8501089818,"Diários do vampiro - Reunião sombria",56,990.00,"Galera Record",12,1448,NULL
32,201009,"Ferreira Gullar",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/20100920115132361932262765.jpg,9788503010955,"Em alguma parte alguma",44,0.00,"José Olympio",13,1303,NULL
33,201009,"Becca Fitzpatrick",NULL,NULL,https://www.publishnews.com.br/estaticos/uploads/livro/201009201147133769085412.jpg,9788598078786,Sussurro,64,990.00,Intrínseca,14,1279,NULL
