idSalesFact,ReferenceDate,BookCode,SalesCount,LeastPrice,MaximumPrice,AveragePrice,CategoryCode
16192,201009,9788599818084,15,43.40,70.90,51.67,0
16193,201009,9788599296554,22,12.00,59.90,44.36,0
16194,201009,9788599296363,24,10.00,9.90,31.63,1
16195,201009,9788599296363,24,10.00,9.90,31.63,1
16196,201009,9788598078588,4,10.98,18.90,16.00,1
16197,201009,9788598078465,19,35.60,56.90,42.53,1
16198,201009,9788598078397,1,30.00,30.00,30.00,1
16199,201009,9788598078397,1,30.00,30.00,30.00,4
16200,201009,9788598078397,1,30.00,30.00,30.00,4
16201,201009,9788598078397,1,30.00,30.00,30.00,4
16202,201009,9788598078175,23,37.99,53.90,45.04,4
16203,201009,9788579301261,8,10.00,32.89,21.38,4
16204,201009,9788578600501,8,10.00,32.89,21.38,4
16205,201009,9788578310431,1,14.90,14.90,14.00,4
16206,201009,9788578130305,21,26.18,93.90,43.29,4
16207,201009,9788576860761,21,13.50,64.90,44.90,4
16208,201009,9788576860761,21,13.50,64.90,44.90,1
16209,201009,9788576860198,7,24.90,47.90,43.71,1
16210,201009,9788576840626,18,47.90,60.29,54.72,1
16211,201009,9788576832294,22,19.90,52.90,35.77,1
16212,201009,9788576831952,20,19.90,46.90,31.90,1
16213,201009,9788576831303,21,19.90,52.90,34.24,1
16214,201009,9788576768609,21,19.90,52.90,34.24,1
16215,201009,9788576767602,24,10.90,9.90,25.42,1
16216,201009,9788576766308,20,36.00,52.90,42.90,1
16217,201009,9788576761730,18,23.60,7.00,26.00,1
16218,201009,9788576654636,24,19.74,37.90,27.92,1
16219,201009,9788576653202,10,17.90,47.90,32.10,1
16220,201009,9788576653202,10,17.90,47.90,32.10,3
16221,201009,9788575425800,1,22.90,22.90,22.00,3
16222,201009,9788575425602,7,11.79,34.90,29.43,3
16223,201009,9788575425114,7,11.79,34.90,29.43,3
16224,201009,9788575424889,7,11.79,34.90,29.43,3
16225,201009,9788575424889,7,11.79,34.90,29.43,3
16226,201009,9788575424889,1,9.70,9.70,9.00,3
16227,201009,9788575423929,8,34.93,59.90,50.25,3
16228,201009,9788575423387,19,39.42,56.90,43.95,3
16229,201009,9788575422397,20,23.62,43.90,31.75,3
16230,201009,9788575422106,20,23.62,43.90,31.75,3
16231,201009,9788575421826,21,25.00,46.90,36.10,3
16232,201009,9788575421024,22,14.90,43.90,30.05,5
16233,201009,9788575421024,22,14.90,43.90,30.05,5
16234,201009,9788573126525,1,19.90,19.90,19.00,5
16235,201009,9788573029161,1,19.90,19.90,19.00,5
16236,201009,9788573029161,1,19.90,19.90,19.00,5
16237,201009,9788573028928,1,19.90,19.90,19.00,5
16238,201009,9788573028928,1,19.90,19.90,19.00,3
16239,201009,9788573028928,1,19.90,19.90,19.00,3
16240,201009,9788573028928,1,19.90,19.90,19.00,3
16241,201009,9788563219077,2,19.90,9.90,14.00,3
16242,201009,9788563219077,2,19.90,9.90,14.00,1
16243,201009,9788563219022,2,19.90,9.90,14.00,1
16244,201009,9788563219022,2,19.90,9.90,14.00,1
16245,201009,9788563066138,2,19.90,9.90,14.00,1
16246,201009,9788562936173,1,199.99,199.99,199.00,1
16247,201009,9788562936067,11,22.90,9.90,32.00,1
16248,201009,9788560303731,11,22.90,9.90,32.00,1
16249,201009,9788560018000,24,18.50,59.92,36.67,1
16250,201009,9788560018000,22,18.50,59.92,35.50,1
16251,201009,9788539000760,20,19.90,51.90,31.90,3
16252,201009,9788539000760,20,19.90,51.90,31.90,3
16253,201009,9788537801550,23,34.00,79.90,59.35,3
16254,201009,9788535913248,1,45.44,45.44,45.00,3
16255,201009,9788535911121,23,20.00,48.90,35.91,3
16256,201009,9788535215243,23,20.00,48.90,35.91,3
16257,201009,9788535215243,2,103.90,47.90,75.00,3
16258,201009,9788535215243,2,103.90,47.90,75.00,3
16259,201009,9788535206234,3,47.20,79.90,68.33,3
16260,201009,9788525048950,21,14.90,52.21,24.71,3
